Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U10        DPAK-3            4881.732mil   1424.172mil       4740mil   1424.172mil       4740mil   1514.723mil  T        270.00 Volt Reg       
C65        CAPC3216N             3520mil   1334.172mil       3520mil   1334.172mil   3462.913mil   1334.172mil  T        360.00 Cap            
J8         HDR1X3                6040mil   1354.172mil       5940mil   1354.172mil       5940mil   1354.172mil  T        360.00 DBGU serial port
RA9        742C083               6640mil   2529.172mil       6640mil   2529.172mil   6608.504mil   2576.416mil  T        270.00 RESISTOR ARRAY 
RA14       742C083               6720mil   2374.172mil       6720mil   2374.172mil   6688.504mil   2421.416mil  T        270.00 RESISTOR ARRAY 
RA13       742C083               6760mil   2234.172mil       6760mil   2234.172mil   6728.504mil   2281.416mil  T        270.00 RESISTOR ARRAY 
RA12       742C083               6358mil   2514.172mil       6358mil   2514.172mil   6326.504mil   2561.416mil  T        270.00 RESISTOR ARRAY 
RA11       742C083               6640mil   2714.172mil       6640mil   2714.172mil   6608.504mil   2761.416mil  T        270.00 RESISTOR ARRAY 
RA10       742C083               6760mil   2614.172mil       6760mil   2614.172mil   6728.504mil   2661.416mil  T        270.00 RESISTOR ARRAY 
RA8        742C083               7020mil   2954.172mil       7020mil   2954.172mil   6988.504mil   3001.416mil  T        270.00 RESISTOR ARRAY 
RA7        742C083               7160mil   3014.172mil       7160mil   3014.172mil   7128.504mil   3061.416mil  T        270.00 RESISTOR ARRAY 
RA6        742C083               5320mil   3094.172mil       5320mil   3094.172mil   5351.496mil   3046.928mil  T         90.00 RESISTOR ARRAY 
RA5        742C083               5320mil   2614.172mil       5320mil   2614.172mil   5351.496mil   2566.928mil  T         90.00 RESISTOR ARRAY 
RA4        742C083               5320mil   2934.172mil       5320mil   2934.172mil   5351.496mil   2886.928mil  T         90.00 RESISTOR ARRAY 
RA3        742C083               5320mil   2774.172mil       5320mil   2774.172mil   5351.496mil   2726.928mil  T         90.00 RESISTOR ARRAY 
RA2        742C083               4760mil   2454.172mil       4760mil   2454.172mil   4791.496mil   2406.928mil  T         90.00 RESISTOR ARRAY 
RA1        742C083               4940mil   2434.172mil       4940mil   2434.172mil   4971.496mil   2386.928mil  T         90.00 RESISTOR ARRAY 
J7         PJ-102AH           3677.89mil   1491.652mil       3796mil   1584.172mil       3796mil   1584.172mil  T         90.00 CENTER POSITIVE 2.1 MM POWER JACK
R79        RESC2012N         5355.433mil   1854.172mil   5355.433mil   1854.172mil   5390.866mil   1854.172mil  T        180.00 Res3           
